humanGene	mouseGene
GABRA3	Gabra3
RBM38	Rbm38
NFKBIB	Nfkbib
CITED2	Cited2
UGCG	Ugcg
SH3RF1	Sh3rf1
VAV2	Vav2
SOCS4	Socs4
SPTA1	Spta1
LAMC2	Lamc2
GABRA1	Gabra1
BMP5	Bmp5
PIGN	Pign
PIK3AP1	Pik3ap1
ATP4A	Atp4a
PECAM1	Pecam1
F2RL3	F2rl3
HSPB7	Hspb7
IL18RAP	Il18rap
NELFB	Nelfb
CHRDL1	Chrdl1
TNFRSF10A	Tnfrsf10b
CACNA1C	Cacna1c
HIPK1	Hipk1
LEF1	Lef1
ADARB2	Adarb2
ZIC2	Zic2
GNA15	Gna15
IKZF1	Ikzf1
RABEP1	Rabep1
CA13 /// LOC100507258	Car13
MGMT	Mgmt
PCDH10	Pcdh10
KIFC2	Kifc2
CTTN	Cttn
MYB	Myb
PTGFRN	Ptgfrn
QTRTD1	Qtrtd1
NET1	Net1
IRF9	Irf9
IRF9 /// RNF31	Irf9
AKT2	Akt2
PLA2G2F	Pla2g2f
CSF2RB	Csf2rb
SMYD1	Smyd1
PTPN4	Ptpn4
HS3ST3B1	Hs3st3b1
MYNN	Mynn
EGFL7	Egfl7
PROX1	Prox1
ELF4	Elf4
EXTL3	Extl3
MAP3K5	Map3k5
AXIN2	Axin2
KCNS2	Kcns2
AJUBA	Ajuba
LRAT	Lrat
CEND1	Cend1
GRIP1	Grip1
GRIA4	Gria4
TLR6	Tlr6
PDE7B	Pde7b
PRKG2	Prkg2
TGM3	Tgm3
TEX9	Tex9
GTF2A1	Gtf2a1
HLA-G	H2-M3
RET	Ret
INPP4A	Inpp4a
GRK1	Grk1
FRK	Frk
CYP2C8	Cyp2c39
LRFN1	Lrfn1
FST	Fst
CLEC5A	Clec5a
LOC729059	4930549C01Rik
SCRT1	Scrt1
MAB21L1	Mab21l1
IL36RN	Il1f5
KLK3	Klk1b4
COX4I2	Cox4i2
FXYD1	Fxyd1
S100A6	S100a6
TRAF6	Traf6
ABCC1	Abcc1
ZNF354B	Zfp354b
INSR	Insr
COL9A1	Col9a1
PRLR	Prlr
CCDC82	Ccdc82
LYST	Lyst
MYO7A	Myo7a
ANKRD6	Ankrd6
KREMEN1	Kremen1
MEF2D	Mef2d
EIF2AK4	Eif2ak4
SLC12A1	Slc12a1
VIPR2	Vipr2
BIRC3	Birc3
GRIN2D	Grin2d
XIAP	Xiap
ZIK1	Zik1
PCSK1	Pcsk1
PIDD	Lrdd
TRIM7	Trim7
INSM1	Insm1
KCNMB1	Kcnmb1
MTA3	Mta3
PI15	Pi15
F2RL2	F2rl2
IGSF6	Igsf6
MSI1	Msi1
PSTPIP2	Pstpip2
GSC	Gsc
PDLIM5	Pdlim5
SEMA6A	Sema6a
GCNT2	Gcnt2
KCNK4	Kcnk4
CCR10	Ccr10
ANGPTL1	Angptl1
C7orf10	5033411D12Rik
ANPEP	Anpep
HHIP	Hhip
COL25A1	Col25a1
SLC5A7	Slc5a7
NPNT	Npnt
RAD51B	Rad51b
PTRF	Ptrf
ARL10	Arl10
ZFHX4	Zfhx4
DNAH5	Dnah5
GRID2	Grid2
WNT8B	Wnt8b
ANGPT1	Angpt1
FLT4	Flt4
GPR110	Gpr110
PGR	Pgr
SLC26A3	Slc26a3
PRKCG	Prkcg
ONECUT1	Onecut1
RALGAPA1	Ralgapa1
CSMD1	Csmd1
MAP3K4	Map3k4
CRB1	Crb1
CDON	Cdon
JPH2	Jph2
SNTB1	Sntb1
P2RY1	P2ry1
SAMSN1	Samsn1
ZFP112	Zfp112
LRP8	Lrp8
DSC1	Dsc1
MPL	Mpl
LEPRE1	Lepre1
SIGLEC8	Siglece
NKX3-2	Nkx3-2
WNT2B	Wnt2b
RUNX3	Runx3
KCNJ3	Kcnj3
STAT5A	Stat5a
GRPR	Grpr
NPY1R	Npy1r
SRRM3	Srrm3
IL1A	Il1a
MS4A2	Ms4a2
CANT1	Cant1
CPLX2	Cplx2
ZNF318	Zfp318
ADARB1	Adarb1
BSND	Bsnd
LHX4	Lhx4
UGT2A1 /// UGT2A2	Ugt2a1 /// Ugt2a2
TTBK2	Ttbk2
EGR3	Egr3
NCK1	Nck1
RABGAP1L	Rabgap1l
VMP1	Vmp1
MIR21 /// VMP1	Vmp1
HPGDS	Hpgds
RGS20	Rgs20
KRTAP4-12	Krtap4-2
C6orf211	1700052N19Rik
GPHA2	Gpha2
PTPN14	Ptpn14
ERC1	Erc1
USP26	Usp26
PCDH15	Pcdh15
SP4	Sp4
MIXL1	Mixl1
OR51E2	Olfr78
TENM1	Tenm1
SORCS1	Sorcs1
TMPRSS15	Tmprss15
ITGB3	Itgb3
CEP250	Cep250
TDRD1	Tdrd1
SCML2	Scml2
NR6A1	Nr6a1
LOC253842 /// NR6A1	Nr6a1
ST6GALNAC1	St6galnac1
KCNS1	Kcns1
JPH1	Jph1
B4GALNT2	B4galnt2
FGF17	Fgf17
CFC1	Cfc1
CFC1 /// CFC1B	Cfc1
CFC1B	Cfc1
LOC101060527 /// NAIP	LOC101056614 /// Naip5
TLL2	Tll2
EPHA6	Epha6
MED22	Med22
TXNRD1	Txnrd1
GRM8	Grm8
AKAP3	Akap3
RXFP2	Rxfp2
SLC7A1	Slc7a1
PDE4A	Pde4a
GABRQ	Gabrq
HOXD3	Hoxd3
KCND1	Kcnd1
ZIC4	Zic4
MEF2B /// MEF2BNB /// MEF2BNB-MEF2B	Mef2b
DZIP1	Dzip1
FBXO4	Fbxo4
DNAH11	Dnah11
SYNE1	Syne1
RACGAP1	Racgap1
CD180	Cd180
PCDHB2	Pcdhb2
PCDHB7	Pcdhb15
TRIM34 /// TRIM6-TRIM34	Trim34a /// Trim34b
CDX4	Cdx4
EPM2A	Epm2a
LMX1A	Lmx1a
ADRB3	Adrb3
TXN2	Txn2
ABO	Abo
SNAI3	Snai3
BHLHE23	Bhlhe23
ATP7B	Atp7b
ROBO3	Robo3
NPAS3	Npas3
KCNA6	Kcna6
GALNT8 /// KCNA6	Kcna6
GRID1	Grid1
IL9R	Il9r
HIF3A	Hif3a
RAP2A	Rap2a
RAP2A /// RAP2B	Rap2a
KRTAP13-1	2310057N15Rik
C5orf47	4930524B15Rik
CCL4	Ccl4
HOXA10-HOXA9 /// HOXA9 /// MIR196B	Hoxa9
CNTNAP1	Cntnap1
KCNJ6	Kcnj6
CREB1	Creb1
OPN4	Opn4
CD46	Cd46
KLK3	Klk1b27
TNFSF14	Tnfsf14
KRT31	Krt31
CYLC1	Cylc1
NCAM2	Ncam2
SYTL2	Sytl2
FAM184B	Fam184b
IFI44L	Ifi44l
HS6ST3	Hs6st3
TRIM26	Trim26
GSX2	Gsx2
SHBG	Shbg
KLF3	Klf3
AQP9	Aqp9
SULT4A1	Sult4a1
VGLL1	Vgll1
IL20	Il20
H2AFY2	H2afy2 /// H2afy3
ZAN	Zan
MYO15A	Myo15
GRIN2A	Grin2a
TRPM8	Trpm8
MYO1F	Myo1f
KCNH3	Kcnh3
IL5RA	Il5ra
RASGRF2	Rasgrf2
RAPGEF4	Rapgef4
IL12RB2	Il12rb2
TMC1	Tmc1
EVX1	Evx1
IL18R1	Il18r1
GABRE /// MIR224 /// MIR452	Gabre
PCDHB1	Pcdhb1
KCNN3	Kcnn3
HAPLN1	Hapln1
CAPN8	Capn8
CNNM4	Cnnm4
TBC1D8B	Tbc1d8b
SLC5A4	Slc5a4a
TANK	Tank
SLC6A2	Slc6a2
CYSLTR2	Cysltr2
IKZF2	Ikzf2
KIAA1199	9930013L23Rik
LOC101060431 /// PIAS3	Pias3
NLGN1	Nlgn1
TNFRSF8	Tnfrsf8
MEPE	Mepe
ANKRD22	Ankrd22
HTR3B	Htr3b
LMNA	Lmna
CCR4	Ccr4
SPRY2	Spry2
SOX17	Sox17
ADRA1A	Adra1a
SCN9A	Scn9a
TUSC3	Tusc3
STYX	Styx
GNRHR	Gnrhr
AANAT	Aanat
NMUR1	Nmur1
IRAK4	Irak4
HSD17B3	Hsd17b3
IL17A	Il17a
STX1B	Stx1b
FGF20	Fgf20
ITPR2	Itpr2
CDKN1A	Cdkn1a
NRG4	Nrg4
TCTE3	Gm3417 /// Gm3448 /// Tcte3
NPVF	Npvf
MSMB	Msmb
CCL1	Ccl1
AGRP	Agrp
CACNA1E	Cacna1e
GPR98	Gpr98
VCAN	Vcan
STRC	Strc
PKHD1L1	Pkhd1l1
USH2A	Ush2a
COL19A1	Col19a1
ENAM	Enam
PIK3C2G	Pik3c2g
SCN3A	Scn3a
MMP20	Mmp20
TMC2	Tmc2
STAT6	Stat6
FMO5 /// LOC101060372	Fmo5
SELE	Sele
TMPRSS3	Tmprss3
DTX2 /// LOC101060822	Dtx2
ARNT	Arnt
PCDHB10 /// PCDHB9	Pcdhb18
EYA1	Eya1
OLIG3	Olig3
FER	Fert2
FEN1	Fen1
TPST1	Tpst1
CXCR2	Cxcr2
ST8SIA5	St8sia5
ALX4	Alx4
GABRA2	Gabra2
MATK	Matk
CYP3A5	Cyp3a16
PCBP2	Pcbp2
TNFSF4	Tnfsf4
PLAG1	Plag1
FBXO17	Fbxo17
ESRRG	Esrrg
TUBD1	Tubd1
VBP1	Vbp1
PSMD14	Psmd14
SERPINB5	Serpinb5
LHX3	Lhx3
GPR132	Gpr132
GPR19	Gpr19
HTR6	Htr6
NAT2	Nat1
FOXK1	Foxk1
PTCRA	Ptcra
BARX2	Barx2
KCNJ5	Kcnj5
BMP10	Bmp10
PAX5	Pax5
HOMER1	Homer1
LMX1B	Lmx1b
TLX2	Tlx2
IPP	Ipp
COX7A2L	Cox7a2l
ETV2	Etv2
FCER1A	Fcer1a
RIT2	Rit2
CABP5	Cabp5
UPK2	Upk2
EFNA4	Efna4
UEVLD	Uevld
PPP3R1 /// WDR92	Ppp3r1
PPP3R1	Ppp3r1
ARF3	Arf3
KCNAB3	Kcnab3
FGF11	Fgf11
EFNA5	Efna5
SNX12	Snx12
UTS2	Uts2
DGCR2	Dgcr2
THBS1	Pald1 /// Thbs1
PALD1	Pald1 /// Thbs1
TAPBP	Tapbp
MSN	Msn
EPDR1	Epdr1
GSR	Gsr
BCL6	Bcl6
SET	Set
SET /// SETP4	Set
NF2	Nf2
LDLR	Ldlr
PPP2CB	Ppp2cb
BACE1	Bace1
DLL4	Dll4
KPNA3	Kpna3
AK4 /// LOC100507855	Ak4
TWSG1	Twsg1
PIP5K1B	Pip5k1b
MAP7	Map7
RPS18	Rps18
ABCA1	Abca1
FGFR3	Fgfr3
SCAMP4	Adat3 /// Scamp4
ADAT3 /// SCAMP4	Adat3 /// Scamp4
ADAT3	Adat3 /// Scamp4
IL1RAP	Il1rap
WSB2	Wsb2
SLC22A5	Slc22a5
STAG2	Stag2
MAP1B	Map1b
KCNK5	Kcnk5
FGL2	Fgl2
S100A3	S100a3
ADAM17	Adam17
CLSTN1	Clstn1
VAMP1	Vamp1
NR3C1	Nr3c1
PNLIP	Pnlip
TRIM44	Trim44
SH3BGRL	Sh3bgrl
RAB24	Rab24
MRPS23	Mrps23
MAPK9	Mapk9
MTMR1	Mtmr1
ELAVL2	Elavl2
SOS1	Sos1
APLP2	Aplp2
ST3GAL2	St3gal2
TPP2	Tpp2
ELK1	Elk1
MR1	Mr1
EIF2AK1	Eif2ak1
MED29	Med29
TGS1	Tgs1
MED1	Med1
TCF12	Tcf12
TCF20	Tcf20
STAT2	Stat2
SLC23A1	Slc23a1
MRPL19	Mrpl19
ST3GAL3	St3gal3
PDGFRA	Pdgfra
ANP32A	Anp32a
CCR9	Ccr9
SH3BP5	Sh3bp5
SLC2A14 /// SLC2A3	Slc2a3
SLC2A3	Slc2a3
MAPK11	Mapk11
TBL2	Tbl2
EPHA4	Epha4
ICOS	Icos
CBX5	Cbx5
DAPP1	Dapp1
SERHL2	Serhl
SERHL /// SERHL2	Serhl
STAG1	Stag1
CAMK4	Camk4
TGFA	Tgfa
ASGR1	Asgr1
RPF2	Rpf2
CRP	Crp
GNG12	Gng12
CEP89	Cep89
PFDN2	Pfdn2
LHX1	Lhx1
CAPN6	Capn6
CRKL	Crkl
NEDD4	Nedd4
RBPJL	Rbpjl
PCYT1A	Pcyt1a
L1CAM	L1cam
ADCY3	Adcy3
DNAJB5	Dnajb5
CDC25B	Cdc25b
NOTCH3	Notch3
NCAM1	Ncam1
B4GALT5	B4galt5
NIPA2	Nipa2
FAAH	Faah
GRIA2	Gria2
MRPS34	Mrps34
HCFC1	Hcfc1 /// LOC100046048
GFRA1	Gfra1
DNAAF1	Dnaaf1
ADD2	Add2
MMP19	Mmp19
GAD2	Gad2
PHEX	Phex
KCNC3	Kcnc3
UNC50	Unc50
HNF4A	Hnf4a
STC1	Stc1
EIF4E2	Eif4e2
PAPSS2	Papss2
SYT1	Syt1
IGFBP4	Igfbp4
TMEM134	Tmem134
HS1BP3	Hs1bp3
TFAP2A	Tfap2a
ITGA3	Itga3
TOR3A	Tor3a
TSHR	Tshr
INHBC	Inhbc
MXD1	Mxd1
CXCR5	Cxcr5
EIF2AK2	Eif2ak2
AQP3	Aqp3
ATP1B2	Atp1b2
CRHR2	Crhr2
CLEC4A	Clec4a2
FOXP2	Foxp2
ABCB8	Abcb8
ABCB8 /// ASIC3	Abcb8
CENPH	Cenph
KIAA1191	4833439L19Rik
HIVEP2	Hivep2
TGFBR2	Tgfbr2
SPRY4	Spry4
ZNF319	Zfp319
BSN	Bsn
FLI1	Fli1
MITF	Mitf
PI16	Pi16
ETS1	Ets1
CCL20	Ccl20
ATP6V0A4	Atp6v0a4
ZFAND6	Zfand6
CNTF	Cntf /// U05342 /// Zfp91
ZFP91	Cntf /// U05342 /// Zfp91
PALM	Palm
STRN	Strn
DLX3	Dlx3
SEMA7A	Sema7a
PILRB	Pilrb1
TSC1	Tsc1
NDST1	Ndst1
PTPN12	Ptpn12
ITGAM	Itgam
CDH5	Cdh5
TRPC5	Trpc5
GABBR1	Gabbr1
GABBR1 /// UBD	Gabbr1
CDH8	Cdh8
INHBA	Inhba
SKIL	Skil
MID1	Mid1
NTN3	Ntn3
NODAL	Nodal
CBX2	Cbx2
PARVB	Parvb
MSR1	Msr1
PEX5	Pex5
ZBTB20	Zbtb20
POU3F1	Pou3f1
MC1R	Mc1r
ADH4	Adh4
CELSR2	Celsr2
CDX2	Cdx2
ACOT4	Acot4
AKT3	Akt3
PRKCH	Prkch
IL7	Il7
KY	Ky
NFYA	Nfya
TLR9	Tlr9
BMX	Bmx
TBX19	Tbx19
MYCL1	Mycl1
NCR1	Ncr1
PFKFB2	Pfkfb2
ZNF329	Zfp329
CMPK2	Cmpk2
ACVR1B	Acvr1b
OPRL1	Oprl1
CYP7A1	Cyp7a1
STAT5B	Stat5b
VSX1	Vsx1
CD3E	Cd3e
SPSB2	Spsb2
PPP1R3A	Ppp1r3a
RFX1	Rfx1
HR	Hr
CCBP2	Ccbp2
SLC5A5	Slc5a5
ERF	Erf
RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Flt3l /// Rpl13a
FLT3LG	Flt3l /// Rpl13a
RPL13A /// RPL13AP5 /// RPL13AP6 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Flt3l /// Rpl13a
RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Flt3l /// Rpl13a
AFF2	Aff2
KHDRBS2	Khdrbs2
SYNC	Sync
RAB5B	Rab5b
EAF2	Eaf2
OPRD1	Oprd1
FCER2	Fcer2a
PTPRC	Ptprc
HTR2B	Htr2b
NUDT13	Nudt13
DHH	Dhh
RPL14	Rpl14
APC2	Apc2
NPTX1	Nptx1
DCP1A	Dcp1a
MTHFR	Mthfr
SPN	Spn
FOSB	Fosb
ZNF146	Zfp146
UHMK1	Uhmk1
DUOXA2	Duoxa2
PLAU	Plau
NPHS1	Nphs1
AKAP7	Akap7
INHBE	Inhbe
MGAT3	Mgat3
SEMA5B	Sema5b
PLA2G6	Pla2g6
MATN3	Matn3
FOXO4	Foxo4
HMX1	Hmx1
ASB11	Asb11
GPR27	Gpr27
RPS2 /// SNORA64	Gm10420 /// Gm6139 /// Gm8841 /// Gm8842 /// Rps2
ITGB1BP1	Itgb1bp1
CLSTN2	Clstn2
PPEF2	Ppef2
SIGLEC1	Siglec1
DCC	Dcc
SH3PXD2A	Sh3pxd2a
POU3F4	Pou3f4
CLEC2D	Clec2i
SEMA5A	Sema5a
BDNF	Bdnf
SLC5A3	Slc5a3
PTGDR	Ptgdr
PDX1	Pdx1
MMP1	Mmp1a
FGF23	Fgf23
IL13RA2	Il13ra2
RAB17	Rab17
GJB4	Gjb4
TPSAB1	Tpsb2
TPSAB1 /// TPSB2	Tpsb2
TPSB2	Tpsb2
HNF4G	Hnf4g
ADRA1B	Adra1b
AK1	Ak1
CYB5R3	Cyb5r3
GABRG3	Gabrg3
C5AR1	C5ar1
CD200R1	Cd200r1
GJA5 /// LOC101060613	Gja5
GUCY2D	Gucy2e
SCN5A	Scn5a
KCNA2	Kcna2
SHMT1	Shmt1
OMP	Omp
HLA-DOB	H2-Ob
THRB	Thrb
SLC18A3	Slc18a3
AVPR1B	Avpr1b
SOX1	Sox1
B3GALT1	B3galt1
HTR5A	Htr5a
GNB5	Gnb5
FOXD3	Foxd3
B3GNT3	B3gnt3
FOXH1	Foxh1
NPFFR2	Npffr2
MID2	Mid2
CYP1A1	Cyp1a1
P2RX7	P2rx7
TBX20	Tbx20
POU1F1	Pou1f1
HAND2	Hand2
IVL	Ivl
GRIN2B	Grin2b
KLF12	Klf12
WNT8A	Wnt8a
CYP2A13	Cyp2a4 /// Cyp2a5
TNFRSF25	Tnfrsf25
PHOX2B	Phox2b
ELK4	Elk4
TACR2	Tacr2
HTR7	Htr7
HTR7 /// HTR7P1	Htr7
MC3R	Mc3r
HOXD13	Hoxd13
NDUFA1	Ndufa1
FGF7	Fgf7
FGF7 /// KGFLP1 /// KGFLP2	Fgf7
PKDREJ	Pkdrej
MRVI1	Mrvi1
DSPP	Dspp
IRS4	Irs4
ZFX /// ZFY	Zfa-ps /// Zfx
ZFX	Zfa-ps /// Zfx
MAP3K2	Map3k2
CDC25C	Cdc25c
COL10A1	Col10a1
DYRK1B	Dyrk1b
KCNA4	Kcna4
SSTR2	Sstr2
CYP2B6	Cyp2b10
CYP2B6 /// CYP2B7P1	Cyp2b10
CHRM3	Chrm3
CCR5	Ccr5
MSH3	Msh3
LHX6	Lhx6
BDKRB2	Bdkrb2
KLF9	Klf9
BRS3	Brs3
RPS6KB2	Rps6kb2
INSM2	Insm2
IL6R	Il6ra
LOC100996758 /// LOC101060446 /// NPY4R	Npy4r
GJA8 /// LOC101060402	Gja8
PTGDR2	Gpr44
P2RY4	P2ry4
GLRA1	Glra1
DRD3	Drd3
GZMK	Gzmk
SSTR4	Sstr4
TACR1	Tacr1
CD40LG	Cd40lg
NKX2-8	Nkx2-9
OTP	Otp
TGIF1	Tgif1
HTR1B	Htr1b
HTR1D	Htr1d
CCR8	Ccr8
KCTD1	Kctd1
XCR1	Xcr1
MECOM	Mecom
SIKE1	Sike1
STYXL1	Styxl1
NOG	Nog
FTL	Ftl1 /// Gm20746 /// LOC100862446 /// LOC101056386 /// Mir692-1
TNFRSF18	Tnfrsf18
IFNB1	Ifnb1
LGALS7 /// LGALS7B	Lgals7
FLAD1	Flad1 /// Lenep
LENEP	Flad1 /// Lenep
SNN	Snn
POLR2A	Polr2a
NEUROG3	Neurog3
IGFBP5	Igfbp5
CLCN6	Clcn6
PHKG1	Phkg1
GP1BA	Gp1ba
IL1RL1	Il1rl1
FOXD4 /// FOXD4L1	Foxd4
SF1	Sf1
CHML	Chml
LBX1	Lbx1
PTHLH	Pthlh
G6PD	G6pd2 /// G6pdx
GJA10	Gja10
NTRK3	Ntrk3
GLP1R	Glp1r
POU3F3	Pou3f3
IFNA1 /// IFNA13	Ifna11
IFNA1	Ifna11
CYP21A2	Cyp21a1
SFTPA1 /// SFTPA2	Sftpa1
ADRA2C	Adra2c
HOXA13	Hoxa13
GPR63	Gpr63
GJA3	Gja3
ACTG2	Actg2
PLA2G15	Pla2g15
NMBR	Nmbr
OR2S2	Olfr155
MAGEB4	Mageb1 /// Mageb2 /// Mageb3
NKX2-1	Nkx2-1
POU4F3	Pou4f3
TAAR1	Taar1
OR51B6	Olfr65
OR10A4	Olfr17
OR2C1	Olfr15
OR51B4	Olfr66
ART1	Art1
OR51B2	Olfr64
FOXE3	Foxe3
ASCL2	Ascl2
IL15RA	Il15ra
HIST1H1E	Hist1h1e
RAB23	Rab23
GML	Gml /// Hemt1
ASZ1	Asz1
IFNA1 /// IFNA13	Ifna7
IFNA1	Ifna7
IFNA1 /// IFNA13	Ifna9
IFNA1	Ifna9
HRAS	Hras1
IFNA16	Ifna4
FERD3L	Ferd3l
SUPT4H1	Gm3258 /// Supt4a
TNP2	Tnp2
LOC284912 /// MB	Mb
MB	Mb
ACSBG1	Acsbg1
RNF14	Rnf14
FIGNL1	Fignl1
MAGEE1	Magee1
DBI	Dbi
PRSS1	2210010C04Rik
COL5A2	Col5a2
EPHX1	Ephx1
CDK4	Cdk4 /// LOC640611
SMU1	Smu1
XPNPEP1	Xpnpep1
ITGA6	Itga6
INS	Ins2
TFF2	Tff2
RCN2	Rcn2
CTNND1 /// TMX2-CTNND1	Ctnnd1
MRPS21	Mrps21
BAG3	Bag3
PRPF8	Prpf8
KRT13	Krt13
NSF	Nsf
SUMO3	Sumo3
TCL1A	Tcl1
PSMD13	Psmd13
MAD2L1	LOC100045924 /// Mad2l1
ATAD3A	Atad3a
ATAD3A /// ATAD3B	Atad3a
ATAD3B	Atad3a
UBE2T	Ube2t
MRPL3	Mrpl3
NXN	Nxn
PPT1	Ppt1
TBK1	Tbk1
BNIP3	Bnip3
PEX13	LOC101056392 /// Pex13
PDE4B	Pde4b
RPS3A /// SNORD73A	Rps3a1
IFI30 /// PIK3R2	Ifi30
CABLES1	Cables1
ACSS2	Acss2
SNX3	Snx3
KRT1	Krt1
RUVBL2	Ruvbl2
SMAD4	Smad4
NXT1	Nxt1
MOGS	Mogs
BNIP2	Bnip2
CPOX	Cpox
CDK20	Cdk20
SLC30A5	Slc30a5
MAGEH1	Mageh1
LIMA1	Lima1
IDH3A	Idh3a
PARP1	Parp1
GLRB	Glrb
CHRAC1	Chrac1
CSTB	Cstb
ATP6V1A	Atp6v1a
U2AF1	U2af1
CTDSPL	Ctdspl
OGFR	Ogfr
CCNF	Ccnf
AEBP1	Aebp1
FIBP	Fibp
ZNRD1	Znrd1
CASK	Cask
NEFM	Nefm
DCTN1	Dctn1
FXR2	Fxr2
PMEL	Pmel
ABCB6	Abcb6
ATP5I	Atp5k
ACSL1	Acsl1
HLA-DMA	H2-DMa
ZFP36L1	Zfp36l1
CASQ2	Casq2
SYT5	Syt5
XPC	Xpc
CYP51A1 /// LRRD1	Cyp51
CCNE2	Ccne2
TNNI3	Tnni3
ID2 /// ID2B	Id2
ID2	Id2
EXTL2	Extl2
FBLN1	Fbln1
PTPRM	Ptprm
GPR34	Gpr34
ROPN1	Ropn1
MYO10	Myo10
TBX2	Tbx2
ILF3	Ilf3
RANBP1	Ranbp1
DHDDS	Dhdds
ARL2	Arl2
MAP6	Map6
RPRM	Rprm
PTEN	Pten
PTEN /// PTENP1	Pten
NDNL2	Ndnl2
GNA13	Gna13
MT1E	Mt1
GAMT	Gamt
DDI2 /// RSC1A1	Ddi2 /// Rsc1a1
ADAMTS5	Adamts5
RRAD	Rrad
ACTL6B	Actl6b
NFIC	Nfic
TFEB	Tfeb
FAM129A	Fam129a
NDEL1	Ndel1
YY1	Yy1
THBS2	Thbs2
RHOG	Rhog
AMPD3	Ampd3
AMPD3 /// LOC100130460	Ampd3
MIR4800 /// MXD4	Mxd4
ATXN10	Atxn10
CS	Cs
HSPE1	Hspe1
MYL4	Myl4
PIAS1	Pias1
LEP	Lep
RAB3B	Rab3b
SKIV2L	Skiv2l
ODF1	Odf1
ECEL1	Ecel1
TMEM45A	Tmem45a
KRT6A /// KRT6B /// KRT6C	Krt6b
KRT6A	Krt6b
RAB3A	Rab3a
CDK5	Cdk5
TCEB3	Tceb3
CTNND2	Ctnnd2
AP3S1	Ap3s1
NKAIN4	Nkain4
MMP15	Mmp15
CASQ1	Casq1
ZNF143	Zfp143
RASGRF1	Rasgrf1
SERPINB9	Serpinb9
WNT5B	Wnt5b
RNASE4	Rnase4
PPP1R1A	Ppp1r1a
C1QTNF3	C1qtnf3
AMACR /// C1QTNF3 /// C1QTNF3-AMACR	C1qtnf3
ETV1	Etv1 /// Gm5454
ARPP19	Arpp19
IGF2BP3	Igf2bp3
HK2	Hk2
RPL7A /// SNORD24 /// SNORD36A /// SNORD36B	Rpl7a
BLOC1S1-RDH5 /// RDH5	Bloc1s1 /// Rdh5
BLOC1S1	Bloc1s1 /// Rdh5
RDH5	Bloc1s1 /// Rdh5
WDR54	Wdr54
PPAP2A	Ppap2a
RANBP2	Ranbp2
RANBP2 /// RGPD1 /// RGPD2 /// RGPD3 /// RGPD4 /// RGPD5 /// RGPD6 /// RGPD8	Ranbp2
NOS3	Nos3
REV1	Rev1
LY6H	Ly6h
MMP16	Mmp16
MKKS	Mkks
FAM111A	Fam111a
LOC100996628 /// SHROOM3	Shroom3
SHROOM3	Shroom3
RAD50	Rad50
AHR	Ahr
CTSW	Ctsw
VSIG2	Vsig2
ACHE	Ache
DMTF1	Dmtf1
RASSF5	Rassf5
DOK5	Dok5
CDC42EP3	Cdc42ep3
MOXD1	Moxd1
SH3BGR	Sh3bgr
HFE	Hfe
MGA	Mga
RING1	Ring1
SLC7A2	Slc7a2
CNTN6	Cntn6
ADIPOQ	Adipoq
CRYGA	Cryga
CEP70	Cep70
SGCA	Sgca
PTCH2	Ptch2
PLCZ1	Plcz1
CAMK2D	Camk2d
RBM3	Gm15453 /// Rbm3
LGALS8	Lgals8
ORC1	Orc1
RAB10	Rab10
PCMT1	Pcmt1
CBLC	Cblc
KRT15	Krt15
EBAG9	Ebag9
RND2	Rnd2
NAALAD2	Naalad2
SPRR3	Sprr1b
PRKD1	Prkd1
CRYGC	Crygb /// Crygc
CRYGB	Crygb /// Crygc
SMARCE1	Smarce1
DGAT2	Dgat2
CTR9	Ctr9
PRSS2 /// PRSS3	Gm10334 /// Gm5771 /// Prss1 /// Prss3
IRAK1BP1	Irak1bp1
EXOC4	Exoc4
NRAS	Nras
SPTLC1	Sptlc1
MRPL51 /// SPTLC1	Sptlc1
SUB1	Sub1
TTYH1	Ttyh1
JARID2	Jarid2
ALOX12	Alox12
ZAP70	Zap70
AZIN1	Azin1
GK	Gyk
PMEPA1	Pmepa1
PIK3CG	Pik3cg
WDR46	Wdr46
CACNA1H	Cacna1h
PNCK	Pnck
UBE2I	LOC100044900 /// Ube2i
UBE2I	Ube2i
ACP1	Acp1 /// LOC631286
AP3S2 /// C15orf38-AP3S2	Ap3s2
NUP50	Nup50
ISL1	Isl1
TNK1	Tnk1
STRA6	Stra6
MAK	Mak
NME5	Nme5
INHA	Inha
PCDHB5	Pcdhb10
LIMD1	Limd1
POLDIP2	Poldip2
FJX1	Fjx1
FOXQ1	Foxq1
RANBP9	Ranbp9
NCOA3	Ncoa3
DDR2	Ddr2
TNFRSF21	Tnfrsf21
BBX	Bbx
HIVEP1	Hivep1
PHKA1	Phka1
BICD2	Bicd2
CHEK2	Chek2
ZEB2	Zeb2
LY6G6C	Ly6g6c
ZMYND10	Zmynd10
COX2 /// OAF /// TLE1	Tle1
TLE1	Tle1
POLR3K	Polr3k
TMOD1 /// TSTD2	Tmod1
TMOD1	Tmod1
BTK	Btk
SLC32A1	Slc32a1
CHST2	Chst2
XPO6	Xpo6
PADI4	Padi4
TBL1XR1	Tbl1xr1
